No,X1,X2,Y1,Y2
1,1,1,5.61,4.10
2,1,1,5.20,4.10
3,1,1,5.85,4.00
4,1,2,5.40,4.00
5,1,2,5.40,4.10
6,1,2,5.30,4.00
7,1,3,5.10,4.00
8,1,3,4.80,4.00
9,1,3,5.36,3.90
10,1,4,4.00,3.70
11,1,4,4.60,3.90
12,1,4,5.10,3.80
13,2,1,5.48,3.80
14,2,1,5.60,3.80
15,2,1,5.80,3.60
16,2,2,5.10,3.80
17,2,2,5.10,3.70
18,2,2,5.60,3.60
19,2,3,5.10,3.60
20,2,3,4.40,3.60
21,2,3,5.30,3.40
22,2,4,5.10,3.50
23,2,4,4.40,3.30
24,2,4,5.30,3.20
25,3,1,5.70,3.60
26,3,1,5.00,3.50
27,3,1,6.70,3.50
28,3,2,6.10,3.60
29,3,2,5.10,3.50
30,3,2,5.80,3.50
31,3,3,5.40,3.40
32,3,3,4.40,3.30
33,3,3,5.10,3.40
34,3,4,5.10,3.20
35,3,4,4.50,3.10
36,3,4,4.60,3.30
37,4,1,7.10,3.50
38,4,1,5.90,3.40
39,4,1,7.30,2.90
40,4,2,7.10,3.50
41,4,2,6.10,3.40
42,4,2,6.90,2.80
43,4,3,6.60,3.20
44,4,3,5.70,3.30
45,4,3,6.80,2.80
46,4,4,6.50,3.10
47,4,4,5.60,3.10
48,4,4,6.50,2.70
